Reports,Count
07/2017,210
06/2017,382
05/2017,349
04/2017,397
03/2017,336
02/2017,412
01/2017,320
12/2016,346
11/2016,488
10/2016,480
09/2016,589
08/2016,548
07/2016,680
06/2016,424
05/2016,379
04/2016,382
03/2016,410
02/2016,432
01/2016,418
12/2015,436
11/2015,902
10/2015,653
09/2015,729
08/2015,627
07/2015,736
06/2015,487
05/2015,466
04/2015,454
03/2015,480
02/2015,343
01/2015,539
12/2014,526
11/2014,549
10/2014,794
09/2014,834
08/2014,928
07/2014,1103
06/2014,784
05/2014,656
04/2014,670
03/2014,519
02/2014,555
01/2014,718
12/2013,769
11/2013,809
10/2013,797
09/2013,796
08/2013,923
07/2013,985
06/2013,644
05/2013,537
04/2013,430
03/2013,400
02/2013,284
01/2013,401
12/2012,675
11/2012,782
10/2012,677
09/2012,778
08/2012,907
07/2012,943
06/2012,766
05/2012,521
04/2012,503
03/2012,538
02/2012,398
01/2012,587
12/2011,538
11/2011,450
10/2011,644
09/2011,560
08/2011,646
07/2011,769
06/2011,409
05/2011,321
04/2011,318
03/2011,336
02/2011,276
01/2011,330
12/2010,307
11/2010,366
10/2010,479
09/2010,453
08/2010,533
07/2010,851
06/2010,390
05/2010,333
04/2010,296
03/2010,262
02/2010,191
01/2010,294
12/2009,294
11/2009,324
10/2009,324
09/2009,600
08/2009,504
07/2009,617
06/2009,392
05/2009,360
04/2009,319
03/2009,341
02/2009,397
01/2009,499
12/2008,350
11/2008,459
10/2008,536
09/2008,386
08/2008,506
07/2008,577
06/2008,485
05/2008,347
04/2008,444
03/2008,341
02/2008,372
01/2008,476
12/2007,362
11/2007,375
10/2007,449
09/2007,451
08/2007,474
07/2007,466
06/2007,431
05/2007,319
04/2007,323
03/2007,364
02/2007,268
01/2007,441
12/2006,387
11/2006,413
10/2006,401
09/2006,329
08/2006,430
07/2006,431
06/2006,343
05/2006,302
04/2006,323
03/2006,307
02/2006,234
01/2006,254
12/2005,279
11/2005,467
10/2005,487
09/2005,532
08/2005,355
07/2005,459
06/2005,412
05/2005,303
04/2005,317
03/2005,359
02/2005,278
01/2005,260
12/2004,306
11/2004,331
10/2004,453
09/2004,413
08/2004,552
07/2004,439
06/2004,432
05/2004,391
04/2004,393
03/2004,416
02/2004,301
01/2004,305
12/2003,383
11/2003,472
10/2003,475
09/2003,510
08/2003,545
07/2003,453
06/2003,309
05/2003,252
04/2003,226
03/2003,192
02/2003,267
01/2003,328
12/2002,251
11/2002,295
10/2002,339
09/2002,377
08/2002,489
07/2002,434
06/2002,352
05/2002,251
04/2002,194
03/2002,197
02/2002,260
01/2002,239
12/2001,214
11/2001,280
10/2001,257
09/2001,350
08/2001,397
07/2001,410
06/2001,315
05/2001,255
04/2001,236
03/2001,291
02/2001,235
01/2001,283
12/2000,233
11/2000,232
10/2000,330
09/2000,298
08/2000,298
07/2000,366
06/2000,278
05/2000,189
04/2000,200
03/2000,225
02/2000,204
01/2000,231
12/1999,226
11/1999,450
10/1999,312
09/1999,407
08/1999,319
07/1999,309
06/1999,289
05/1999,192
04/1999,165
03/1999,163
02/1999,175
01/1999,145
12/1998,193
11/1998,214
10/1998,228
09/1998,249
08/1998,176
07/1998,186
06/1998,213
05/1998,108
04/1998,130
03/1998,146
02/1998,87
01/1998,85
12/1997,73
11/1997,125
10/1997,114
09/1997,58
08/1997,131
07/1997,229
06/1997,203
05/1997,107
04/1997,95
03/1997,200
02/1997,48
01/1997,56
12/1996,85
11/1996,87
10/1996,55
09/1996,74
08/1996,86
07/1996,80
06/1996,155
05/1996,81
04/1996,104
03/1996,66
02/1996,76
01/1996,59
12/1995,59
11/1995,121
10/1995,109
09/1995,132
08/1995,196
07/1995,136
06/1995,183
05/1995,105
04/1995,92
03/1995,124
02/1995,116
01/1995,96
12/1994,39
11/1994,26
10/1994,66
09/1994,37
08/1994,64
07/1994,58
06/1994,88
05/1994,33
04/1994,31
03/1994,24
02/1994,11
01/1994,19
12/1993,16
11/1993,20
10/1993,24
09/1993,29
08/1993,44
07/1993,48
06/1993,102
05/1993,31
04/1993,15
03/1993,20
02/1993,16
01/1993,18
12/1992,15
11/1992,18
10/1992,36
09/1992,23
08/1992,32
07/1992,36
06/1992,70
05/1992,22
04/1992,23
03/1992,10
02/1992,15
01/1992,5
12/1991,12
11/1991,17
10/1991,17
09/1991,31
08/1991,32
07/1991,38
06/1991,54
05/1991,26
04/1991,16
03/1991,15
02/1991,9
01/1991,11
12/1990,17
11/1990,21
10/1990,27
09/1990,21
08/1990,37
07/1990,50
06/1990,59
05/1990,19
04/1990,9
03/1990,9
02/1990,21
01/1990,19
12/1989,21
11/1989,27
10/1989,39
09/1989,24
08/1989,24
07/1989,37
06/1989,58
05/1989,23
04/1989,13
03/1989,11
02/1989,8
01/1989,15
12/1988,8
11/1988,18
10/1988,38
09/1988,18
08/1988,54
07/1988,35
06/1988,61
05/1988,12
04/1988,9
03/1988,15
02/1988,5
01/1988,12
12/1987,13
11/1987,18
10/1987,30
09/1987,13
08/1987,36
07/1987,47
06/1987,53
05/1987,18
04/1987,19
03/1987,10
02/1987,5
01/1987,13
12/1986,9
11/1986,11
10/1986,26
09/1986,19
08/1986,28
07/1986,25
06/1986,55
05/1986,14
04/1986,16
03/1986,10
02/1986,10
01/1986,7
12/1985,11
11/1985,11
10/1985,20
09/1985,20
08/1985,27
07/1985,40
06/1985,78
05/1985,17
04/1985,10
03/1985,6
02/1985,4
01/1985,11
12/1984,7
11/1984,12
10/1984,20
09/1984,18
08/1984,31
07/1984,26
06/1984,56
05/1984,13
04/1984,9
03/1984,10
02/1984,5
01/1984,8
12/1983,7
11/1983,8
10/1983,11
09/1983,17
08/1983,21
07/1983,28
06/1983,49
05/1983,17
04/1983,22
03/1983,7
02/1983,4
01/1983,3
12/1982,9
11/1982,9
10/1982,22
09/1982,20
08/1982,24
07/1982,36
06/1982,67
05/1982,16
04/1982,5
03/1982,1
02/1982,5
01/1982,7
12/1981,5
11/1981,13
10/1981,18
09/1981,21
08/1981,25
07/1981,24
06/1981,56
05/1981,13
04/1981,12
03/1981,5
02/1981,4
01/1981,13
12/1980,18
11/1980,6
10/1980,28
09/1980,24
08/1980,29
07/1980,42
06/1980,82
05/1980,22
04/1980,7
03/1980,15
02/1980,7
01/1980,15
12/1979,10
11/1979,21
10/1979,19
09/1979,29
08/1979,33
07/1979,43
06/1979,75
05/1979,17
04/1979,18
03/1979,15
02/1979,11
01/1979,11
12/1978,15
11/1978,22
10/1978,29
09/1978,23
08/1978,61
07/1978,83
06/1978,86
05/1978,15
04/1978,15
03/1978,14
02/1978,13
01/1978,21
12/1977,13
11/1977,15
10/1977,18
09/1977,23
08/1977,34
07/1977,67
06/1977,79
05/1977,25
04/1977,12
03/1977,16
02/1977,6
01/1977,13
12/1976,9
11/1976,18
10/1976,23
09/1976,33
08/1976,32
07/1976,68
06/1976,104
05/1976,16
04/1976,10
03/1976,4
02/1976,11
01/1976,11
12/1975,16
11/1975,20
10/1975,34
09/1975,24
08/1975,43
07/1975,60
06/1975,117
05/1975,13
04/1975,16
03/1975,12
02/1975,5
01/1975,17
12/1974,8
11/1974,23
10/1974,32
09/1974,28
08/1974,42
07/1974,49
06/1974,79
05/1974,18
04/1974,17
03/1974,7
02/1974,4
01/1974,13
12/1973,5
11/1973,14
10/1973,46
09/1973,24
08/1973,27
07/1973,44
06/1973,65
05/1973,13
04/1973,10
03/1973,9
02/1973,8
01/1973,7
12/1972,7
11/1972,8
10/1972,19
09/1972,17
08/1972,22
07/1972,34
06/1972,71
05/1972,12
04/1972,3
03/1972,9
02/1972,2
01/1972,5
12/1971,2
11/1971,6
10/1971,11
09/1971,16
08/1971,15
07/1971,24
06/1971,34
05/1971,9
04/1971,10
03/1971,2
02/1971,8
01/1971,6
12/1970,9
11/1970,6
10/1970,15
09/1970,13
08/1970,18
07/1970,28
06/1970,54
05/1970,12
04/1970,6
03/1970,6
02/1970,6
01/1970,11
12/1969,7
11/1969,9
10/1969,17
09/1969,7
08/1969,29
07/1969,37
06/1969,49
05/1969,9
04/1969,6
03/1969,6
02/1969,2
01/1969,10
12/1968,8
11/1968,8
10/1968,25
09/1968,16
08/1968,27
07/1968,48
06/1968,84
05/1968,17
04/1968,12
03/1968,2
02/1968,2
01/1968,18
12/1967,3
11/1967,10
10/1967,20
09/1967,26
08/1967,42
07/1967,20
06/1967,71
05/1967,11
04/1967,18
03/1967,7
02/1967,6
01/1967,5
12/1966,7
11/1966,14
10/1966,19
09/1966,21
08/1966,20
07/1966,25
06/1966,82
05/1966,15
04/1966,12
03/1966,18
02/1966,3
01/1966,5
12/1965,16
11/1965,9
10/1965,23
09/1965,10
08/1965,33
07/1965,37
06/1965,62
05/1965,10
04/1965,8
03/1965,2
02/1965,4
01/1965,5
11/1964,5
10/1964,5
09/1964,13
08/1964,19
07/1964,19
06/1964,35
05/1964,9
04/1964,4
03/1964,4
01/1964,2
12/1963,1
11/1963,3
10/1963,5
09/1963,1
08/1963,9
07/1963,20
06/1963,37
05/1963,6
04/1963,5
03/1963,3
02/1963,2
01/1963,3
12/1962,1
11/1962,5
10/1962,3
09/1962,9
08/1962,11
07/1962,15
06/1962,24
05/1962,5
04/1962,2
03/1962,6
02/1962,1
01/1962,1
12/1961,3
11/1961,2
10/1961,6
09/1961,3
08/1961,9
07/1961,8
06/1961,16
05/1961,4
04/1961,2
03/1961,2
02/1961,2
01/1961,2
11/1960,3
10/1960,2
09/1960,6
08/1960,14
07/1960,14
06/1960,31
05/1960,3
04/1960,1
03/1960,1
02/1960,3
01/1960,1
12/1959,3
11/1959,2
10/1959,7
09/1959,3
08/1959,8
07/1959,11
06/1959,20
05/1959,4
04/1959,3
03/1959,2
01/1959,1
11/1958,2
10/1958,3
09/1958,7
08/1958,5
07/1958,9
06/1958,25
05/1958,4
04/1958,3
02/1958,1
01/1958,3
12/1957,1
11/1957,3
10/1957,9
09/1957,9
08/1957,14
07/1957,17
06/1957,25
05/1957,3
04/1957,1
03/1957,4
01/1957,1
12/1956,1
11/1956,2
10/1956,4
09/1956,4
08/1956,3
07/1956,7
06/1956,27
05/1956,3
03/1956,3
02/1956,1
01/1956,2
10/1955,5
09/1955,1
08/1955,6
07/1955,5
06/1955,20
05/1955,2
03/1955,1
02/1955,2
01/1955,1
12/1954,2
11/1954,2
10/1954,3
09/1954,3
08/1954,7
07/1954,12
06/1954,26
05/1954,2
04/1954,1
02/1954,3
01/1954,4
11/1953,4
10/1953,2
09/1953,1
08/1953,6
07/1953,6
06/1953,10
05/1953,2
04/1953,6
03/1953,1
01/1953,2
12/1952,2
10/1952,5
09/1952,2
08/1952,5
07/1952,17
06/1952,23
05/1952,2
04/1952,2
02/1952,2
01/1952,1
12/1951,1
11/1951,1
10/1951,1
08/1951,2
07/1951,7
06/1951,8
05/1951,1
04/1951,1
03/1951,1
02/1951,3
01/1951,1
12/1950,1
10/1950,2
08/1950,2
07/1950,8
06/1950,17
05/1950,1
04/1950,2
03/1950,1
01/1950,2
10/1949,3
09/1949,2
08/1949,4
07/1949,3
06/1949,5
05/1949,2
04/1949,1
12/1948,1
11/1948,1
10/1948,1
08/1948,2
07/1948,1
06/1948,6
05/1948,1
04/1948,1
12/1947,1
10/1947,3
08/1947,5
07/1947,22
06/1947,12
04/1947,2
02/1947,1
01/1947,3
12/1946,1
09/1946,2
07/1946,1
06/1946,4
05/1946,1
03/1946,1
02/1946,1
01/1946,1
12/1945,1
08/1945,2
07/1945,2
06/1945,6
05/1945,1
04/1945,1
01/1945,1
09/1944,1
08/1944,1
07/1944,2
06/1944,4
04/1944,2
03/1944,1
01/1944,3
10/1943,1
09/1943,1
08/1943,3
06/1943,3
04/1943,1
01/1943,1
11/1942,1
07/1942,1
06/1942,1
02/1942,2
07/1941,2
06/1941,2
06/1940,1
07/1939,1
06/1939,2
08/1937,1
06/1937,1
10/1936,1
09/1936,1
07/1936,1
06/1935,1
05/1935,1
01/1935,1
09/1934,1
04/1933,1
11/1932,1
10/1931,1
06/1931,1
02/1931,1
09/1930,1
08/1930,1
06/1930,3
07/1929,1
12/1925,1
12/1922,1
06/1920,2
10/1917,1
04/1916,1
12/1914,1
09/1914,1
06/1910,1
05/1910,1
01/1910,1
11/1906,1
07/1905,1
06/1899,1
04/1897,2
06/1896,1
10/1886,1
12/1880,1
06/1871,1
06/1865,1
05/1864,2
03/1861,1
08/1860,1
06/1838,1
04/1800,1
06/1790,1
05/1788,1
12/1762,1
04/1721,1
07/1615,1
04/1561,1
06/1400,1
UNSPECIFIED / APPROXIMATE,255